"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene23","Gene24","Gene25","Gene26","Gene27","Gene28","Gene29","Gene30","Gene31","Gene32","Gene33","Gene34","Gene35","Gene36","Gene37","Gene38","Gene39","Gene40","Gene41","Gene42","Gene43","Gene44","Gene45","Gene46","Gene47","Gene48","Gene49","Gene50","Gene51","Gene52","Gene53","Gene54","Gene55","Gene56","Gene57","Gene58","Gene59","Gene60","Gene61","Gene62","Gene63","Gene64","Gene65","Gene66","Gene67","Gene68","Gene69","Gene70","Gene71","Gene72","Gene73","Gene74","Gene75","Gene76","Gene77","Gene78","Gene79","Gene80","Gene81","Gene82","Gene83","Gene84","Gene85","Gene86","Gene87","Gene88","Gene89","Gene90","Gene91","Gene92","Gene93","Gene94","Gene95","Gene96","Gene97","Gene98","Gene99","Gene100"
"Cell1-1",9.31360512523127,-6.00492639009678,4.14079285174984,8.52959953332793,-4.76950264769283,-7.94037575924085,-11.3426616962379,5.37807188036448,-1.27879827416157,21.9153308583642,1.90604448865769,-8.47686530165552,-5.20473280712987,-2.32966157837879,-10.3183489126915,3.33265392950564,-3.43039112918338,-1.73634086864962,4.1156636429051,-5.9054575546179,-2.29471605815837,3.02996172272977,-6.33744543278552,1.31148590798528,-5.59091524947467,9.9215787723372,14.4238935435944,-2.32545707316544,-13.9002293393803,0.0211650285331595,7.47201702612884,-4.25186532158739,2.83644683661122,-8.08647299508685,8.71063005462015,1.18742812748643,-1.2273234683798,-7.71131669284729,1.34673622189887,-8.55698521816726,13.7799704287176,2.14289385733628,-2.50753489150031,-8.86844164900694,-12.8896265722352,-10.7756783466626,-12.7400976831242,2.28812577557087,7.99196179723475,-8.37094410950067,6.7563195041927,-8.42088240247149,13.2152534082701,7.82414429936127,3.96399771765669,1.24797108763508,-2.19198795967309,2.55681277292048,-13.8029456717997,-7.39806155088673,3.80909783996803,-1.6465102746381,8.74407991008355,7.15779190480763,-0.215632718082528,4.90632471694989,-9.94710977216241,8.5252719247924,-1.61332100626649,-6.18394739100902,9.55542011079897,-2.80823994525074,-3.45957623729714,-2.9801277706879,-2.14962748570418,10.2465814853187,-5.72726335057957,-1.9732168504692,-8.13010944842024,-16.1570077054784,-3.73912630716789,4.81684727284097,0.509728432100203,3.51355503888845,-0.245756201167245,-2.56665373994231,6.32151700096972,-5.36525162111214,5.62472558748298,7.6380487212323,6.12690667032793,-4.74954533285517,10.3762320876285,-8.04235622387908,8.83307083674866,9.28302789308077,-6.31938674869187,8.32589083997927,0.699950204725971,2.27413837182884
"Cell2-1",11.5432028720298,-6.98855209463958,1.66883066449776,7.97085002287598,-5.67980733773537,-2.71258310358642,-11.9205766219878,8.05851873129599,-2.62702669243425,22.4576827123003,1.51321256659961,-9.23998605611335,-4.95971646728073,-1.67269760873974,-12.5328846131412,5.69742834289557,-7.1012323665623,-2.93739680968981,5.00132911674128,-6.34656484276262,-1.35343684786316,2.65157554845812,-7.22919006584043,-1.87061425165021,-7.68816377658071,12.7497077832013,14.0495387293923,-0.641577413750322,-14.4399499144321,-1.98780989521101,8.67266711168707,-5.88254740599865,2.04047126866183,-9.06140032544978,8.05144996745127,0.586123764460105,-3.50390034653691,-8.71452985686796,0.48331530731228,-8.01919481116908,12.9673993625395,3.1526903851047,-4.1897430750812,-10.1910428466429,-12.2873604620651,-10.1497546427912,-16.6223108542755,3.43558606418224,6.50476651948991,-7.76435273468552,11.1321193199179,-10.9941425602124,11.3704722756578,12.1483256849709,5.69598527831949,0.291472164189869,-1.84426113185481,1.73816495797154,-9.6265305146528,-8.84151750638278,4.26963952011892,-3.05574283811583,13.4576622885253,12.1831665402576,1.87409832291185,5.67759288626829,-11.191513742888,6.93702126547693,-3.34763668208218,-6.28809771861289,11.1856960194272,-4.49895985027232,-5.72984152475902,-4.3160567769898,-5.01699226247668,9.31004200201706,-10.702580321264,-0.635400033964007,-8.28389792129554,-17.0787642562734,-3.76993583937905,4.16224001168645,-0.613213721877904,4.89118270599693,-1.42703448601278,-1.55064078595381,4.94996746143729,-6.70817249396047,5.81164263221388,8.3099798263414,6.93301828359972,-2.5092476968594,12.9576966792503,-8.61114162420761,8.4660473870057,11.9732833290155,-9.53777308883074,6.75937776692402,-0.245563909965745,1.5110464831278
"Cell3-1",10.3336235362091,-8.30705202880191,4.68455796040486,8.8974704461561,-4.93931623648726,-5.60843951675272,-10.9837622944874,7.44836923526617,-2.48134872489011,25.0889245987409,2.62157267684593,-9.78789923742348,-5.65065754439217,-1.65063541463444,-12.0266312010752,4.19877323721207,-4.12783916053326,-2.99421669778334,4.85814275944842,-5.79295661959001,-1.85001887891223,5.38290968703902,-5.44216527430193,1.42745152344498,-3.6159426362517,12.7555319009285,16.0149353104648,-1.03605352383607,-13.2279701302669,1.0708177365799,8.83156301949237,-4.54586084880736,3.03714247768566,-9.54647289860499,8.70464370919687,1.44395316710785,-2.32690094613411,-7.53555046238828,2.77774393178779,-6.65324874414038,13.4622099706211,2.13776516622094,-5.36084972849384,-11.3675756182383,-12.1823322107094,-9.65536431236306,-14.7623842748197,3.72580871258724,8.37628112033681,-7.24379213228338,10.8925520287529,-10.0856112042956,13.2401494161015,8.91954217349284,4.89396051784896,-1.69113550864439,-1.3805675217837,4.17903684707811,-12.1890159723069,-8.32494805132153,4.94361315844271,-3.65695686845138,7.73594525236785,9.30100209757728,-1.34646052737997,5.30980515676826,-11.1126834784315,8.17435924415653,0.695502551590067,-6.38747364932751,11.3232218171519,-2.97578358550731,-5.30845396089178,-3.63615685802979,-3.72637211134469,9.98767824622733,-8.51758763428767,-0.384937249652837,-8.01886677884545,-16.6246963648208,-6.25273927853616,4.41942994592791,1.04128039111408,3.77769289352001,-0.507426434173924,-1.80389069198225,5.9941703365742,-5.82391463573558,5.70446140861138,10.1571834007288,7.52069591964968,-3.81215480812108,9.74592029419196,-10.216918960403,8.49668361786336,12.2708678608165,-7.4305627735271,10.8857649573355,0.535549842709632,3.4541253325282
"Cell4-1",12.303152425474,-9.44936323877303,3.58015501774592,6.30286900481362,-6.30871140418825,-4.35966868298311,-13.2147512067341,7.88083446223122,-4.33668889200003,25.4923182620448,0.18449386246218,-11.9849795255113,-5.92950281702156,0.928812813363698,-13.5984238228138,4.64100080236218,-4.48618969722177,-2.1327534655324,5.80292599853846,-6.22664935189587,-0.960619472771326,2.92982107178549,-7.45874760751102,-0.385089336561727,-7.76284549691165,13.7941396190714,17.2949312277773,-2.53035158621749,-16.4192603101976,0.107277138515618,9.60986004227458,-5.76624504494856,2.72527131511312,-10.5490076377384,8.66804435585956,0.64670466346857,-5.43585678398341,-10.2499265915074,-0.723217818770184,-6.51834520630197,14.4312530325196,2.58344376884228,-5.07434073031741,-11.027911492187,-13.854435370638,-10.6919364129655,-16.9104739419232,4.55006308935347,7.56464196417016,-10.3342656633236,10.5868641954302,-11.8148845586612,13.9062142956983,12.1140421348004,5.1847894490587,-2.1110947156343,-1.66952535411798,2.67170734901547,-12.8812752539579,-9.08501632676538,6.2415115577066,-2.92717688623647,12.71668095345,9.8783059690326,0.717822564682561,6.69896389026482,-11.5165891299714,7.20740572407934,-2.21883838270193,-6.77959067476437,12.6228727524017,-3.96422978919729,-4.99229742113216,-5.61265242548247,-3.11999270699631,9.92754849039461,-10.6316254980227,-1.68977216720234,-8.29376215780699,-18.8471853088002,-4.76689251646737,2.28607554746942,0.944346894061449,5.59824652470623,-0.000387296277136961,-2.24154087464794,7.80085880350123,-5.78199632830663,6.45557978243469,12.8373993635441,6.96556921885733,-4.00045038239089,13.0898167848984,-9.13409257079951,9.90704776198455,12.2988255459757,-9.02832150947925,7.60433407763091,-1.87783310541124,4.12554792639059
"Cell5-1",11.7112389251877,-6.22340442802215,4.4301175741506,7.1888482858249,-4.64588481090086,-5.04374663639138,-11.6883572439092,5.66817744610452,-2.63538785796692,20.9859648898252,1.53674831706113,-9.60971055923339,-5.16593170782374,-2.47618270473997,-12.2866799623914,2.57061757129359,-6.17601419093618,-4.07569900293704,6.11826285594774,-5.35215250453649,-2.61152206610028,2.83845801905912,-5.58525528480971,0.262624015984117,-6.80803634438281,10.2702409604195,11.9172074981233,-3.31474134064525,-12.9841034139504,0.646827807998088,6.33361795675115,-5.78715084779227,1.51602361059438,-8.15533271618958,6.8597396584367,2.35686479446988,-0.298392587549983,-5.95321200798837,3.03333410280557,-3.60161109676335,13.7716638491002,2.40600174351932,-4.06349408322219,-8.97223034589345,-12.9373081620012,-10.5409542456164,-12.6053804113955,3.91403275816929,6.84410106136272,-6.15630063398165,9.80605443729529,-6.90692814553688,11.9556584208414,8.70491794863552,4.19498229767986,-0.189159690528974,-0.409657727331797,2.90925182359593,-12.1448046067443,-9.43097128083643,3.00773486234337,-2.78816432969284,5.94271187763255,7.82643983917878,-0.347873184375884,4.63874498194063,-9.28352140297261,6.94230197060918,-0.620624165036828,-2.31723456051737,9.07281568615366,-3.26993786036295,-4.74455599761776,-2.18818247609886,-0.0393314689531665,8.30826297393988,-7.05428818617391,-3.07833257325248,-6.78844018821032,-14.0903732348839,-6.01867940240464,7.36034466579197,0.244053934629177,3.97931393401363,0.841109279979663,-2.91516509316633,5.89250789735459,-4.28753740992729,4.61025253115238,7.3193447165948,6.86925570681476,-3.43874801251789,9.75028205830562,-9.48627166810078,9.4684221357983,9.75302069143076,-7.2023728911219,9.02858928570401,-0.895163987650513,4.82592509921962
"Cell6-1",5.28641504681395,-1.43159057254199,6.04883633072141,5.90253898558336,1.7130381110035,-4.35685786809664,-3.52235924671411,-2.79519969771367,0.689909106402835,7.3682620700951,1.01011541481414,-1.8557012951571,-2.47479852070416,-0.074666311095222,1.35888627594866,-2.86227169574753,0.180718252417473,-4.10172770780774,1.76584265971587,-4.22125093049469,-0.590491004686793,3.16162312527097,1.05872679783671,2.52259438010722,0.0983786380009758,0.916496414649984,2.70379415455637,-1.07804936868869,-3.98024217985241,0.129957392585674,-1.36556958756749,-0.949695786660633,-2.84341290818063,-2.44981560220296,3.37521144535534,4.51479532693263,3.59627137602363,-1.47333279547218,5.6525720728833,-0.387933528476918,6.12237443305257,3.51574418431858,-1.57936540717504,-1.2290159307075,-4.58601159540873,-1.94843884238161,-5.30053394123177,7.26780440774145,3.05023860414033,-0.413933628340788,1.27310849610432,-1.54691003206038,10.1405987708242,-5.15727184701088,-0.410865977276565,1.12318382531249,1.29149535455266,1.7150873624488,-7.82839502586873,-5.31927232057555,0.42772929499712,1.22620087300969,-4.50429172128877,-0.715706069738096,-3.1329535933721,0.155604252732788,-5.55370932074043,0.921180862042001,1.62816471925733,2.37743105100758,-3.03275066220957,1.30588108712174,-2.20107231758914,-0.0381751829437234,2.7343412390922,4.32146467236812,2.21249211427613,0.754796968873873,-3.38722139275936,-4.44515200916522,-2.7835860525413,3.80145296489062,2.81868958403735,-1.49747536846085,-1.41189155911736,-1.17286928359077,2.70435577203377,-1.25898745966949,5.12239183033819,1.76359717588837,5.11458727015428,-2.59620838876766,-1.88331207154907,-4.64263011382032,-0.423630608532772,0.362609903601261,0.940083803557982,5.91391041449336,0.427315513419559,4.01556620927126
"Cell7-1",3.98709484564874,-3.41312857013686,4.62307511282493,3.10522430277839,1.19931400258368,-6.95516396152698,-2.99538717334908,0.0856436712875501,-0.359165861710735,11.549825693538,1.97954169964994,-4.65309503438452,-3.19169132530693,0.155341811064567,-1.70445937790202,-2.5090875662682,0.775960126329244,-4.7717390183585,1.58259966585035,-6.9670053386483,-0.831500370625725,3.06472779125689,0.198294782234118,3.63254292277531,-0.0901314363327364,0.143143053615286,6.31051041114512,-3.26000173187546,-3.92276724759667,0.541685581893639,-0.413083000118094,-3.34338753057593,-0.374331418036356,-1.52732500130872,3.02255224534948,2.83102606691661,4.89843317785906,-0.99415563073455,6.61788252605956,0.958514635591369,8.13072968330523,3.17857745598231,-2.79115535210989,-3.11548399739056,-5.29305519095572,-3.54193087137966,-6.93221527013628,3.65426679636715,3.56259934189508,-1.20732925397182,0.130502332594704,-2.49712083078744,9.23800679155383,-4.57400202772755,-2.19872950883629,1.06625525043324,4.26366157983506,-2.71363601118126,-6.62134637126832,-4.06028597268367,1.24597230604473,-1.25343642301802,-4.79584587137093,-1.52865404798045,-2.82781368074117,1.58038833014735,-6.35748287652127,0.977267755450394,-0.368775864878372,1.63853192927216,-0.765664142405249,1.32096082578145,-2.54970089220039,-0.690014741647494,3.37321302670856,3.75721837672976,0.0460901645357343,-1.51816902364184,-5.61315169741624,-5.90646456074098,-2.80052573286665,5.81895983330493,2.95622340097756,-2.65837843775999,-1.98904918713811,-0.351741009297476,4.57174826388645,-1.49994933978725,5.59733367209172,2.81949818933908,6.61218464084819,-3.09401840059855,0.306491957219063,-1.87183533223013,2.71582187211853,-0.417597369793924,0.196551208286602,4.50287396022126,0.901882439602255,5.42045630901866
"Cell8-1",1.07096096214582,0.190399676319856,1.03965161754352,-0.00905659157112301,-0.316944932169168,0.582891078726673,-0.0440939657525616,-0.409613980805455,0.704448192816818,0.325844172673002,-0.0388604444428826,-0.487919808948213,0.368396213010248,0.26301867697013,-0.431689331746996,-0.0175057663421101,0.398112800968723,0.693807508294215,-0.271603639497739,-1.3579564130814,-0.950707278801456,-0.756213027841116,-1.00661613823304,-0.930262939691779,-0.0924953139790195,0.427990839442475,-0.865726145714312,0.182403714726409,-0.369191386764143,-0.07657778365492,-0.0950090894411115,2.31046089203781,0.295062052054313,0.340699212366573,-0.582718787392813,-1.79205573419398,-0.572202407300923,-2.3960981752274,-1.94330713347997,-1.86149547204221,-0.668835265123408,-0.902550550868249,-0.0358621308036879,0.031635826756767,-1.22089146416696,-0.917656768536615,-0.971691882099324,0.5136043423333,0.593575442414688,-0.328227992551709,0.142862063670589,0.796011797979485,-2.2782865081483,0.665331539736693,-1.4577698420848,-2.01622294473816,-1.30047452338371,0.216045285302501,-0.0547813931238108,0.205511947486265,-0.0529680588239923,0.121037646455323,-0.727325455312901,1.75754690945191,0.457842805104755,-1.35507648179158,0.253203437178786,0.435883712065022,-1.49701527973406,-0.162987209914445,0.414446006929187,0.741391584016882,0.146689181370192,0.0977339103343448,-2.85042541809295,-0.44752154690776,-0.646449113184279,-0.305079491821535,0.122204250820985,-0.14422171334238,-1.12067881767154,1.54804610019547,1.2973184071756,-1.27784635871538,1.50282620947493,0.400672572920111,0.423309894522806,0.282095395247154,-1.08130494218156,1.53714605319096,-0.198003103115672,-1.76139426416229,0.0825215342444011,-0.586739005904292,1.6660069378735,0.105624816467117,-1.91828064159022,1.47251746555116,0.183177437054477,-0.508588013634954
"Cell9-1",-0.0688568577557917,1.35711822467213,0.752429906016928,-0.850032272780437,1.76754617706277,1.33751067529144,0.130140030349053,-0.0612903452451248,-1.05157013405638,-0.841452921460553,-0.385022261579595,0.812769894862337,-0.380409775262491,1.05657823160075,-0.700756025122353,-0.423849775401561,0.69244155125635,1.41217987015648,-0.712241908355853,-0.161494232618009,-0.192823415195107,-0.334149933792152,-0.27571831550982,1.26805474113392,-0.728485569200465,1.01804614559069,-1.13156439372179,1.55090263179692,0.737803027770781,-1.32723527187285,1.32950523013103,-0.58839314724934,0.00453159078610774,-0.220050112608688,0.209112183823189,1.56169873096497,2.35953045879643,2.60294884776399,-1.40456409038942,0.984210275213593,-0.17357032038839,-0.4030827902535,1.6915437808629,1.09132525415853,1.09545418729754,0.22776268873427,0.202091238787197,1.7217003842058,-0.563868817894161,2.57256768751611,-0.153312704405032,0.990237322364966,-0.599785266649014,-0.868475276921879,1.13439379698229,0.893609106366154,1.4912211869554,-0.479886668569849,-2.0703395491159,-0.000863423703524574,-0.1024110215489,-0.677955490211523,-2.69622522394822,-0.267603087471328,0.157311630054935,-0.108160356361769,1.41297643505932,0.148556688101445,0.569073938355903,-0.496354693339038,-0.605023624547148,-0.613752021347286,0.208568297921764,-1.06598055498259,0.966176992317435,-0.567960042226365,-0.96205207774727,-0.895482079790987,0.130562455503757,0.155267909105895,-1.59556868419834,0.539580583449434,-1.43763262403452,-0.91670084675823,-0.678276148780216,-1.00876895899508,-0.450421121769944,0.317359168342791,1.41579250394107,-0.105470732250049,-0.842553886726683,0.173007354198623,-1.20086466774933,-1.44074810897775,-0.389341358151073,-0.561769651087215,-0.546214348909353,0.141264842391544,1.16717258686718,-0.0789465850791755
"Cell10-1",-0.198461305905348,0.116049889952777,1.82201971503579,1.23942890566976,0.902673467527909,-2.21795448493083,-0.0476053621295343,1.41036095829805,0.0623943378016685,3.04281512246162,1.60615582707352,-0.834338715890178,-4.00447482727402,0.115901122261884,-1.00223580187134,-0.190499637153853,0.60985878610922,-1.43629675746363,1.55943415760582,-0.371882551496097,-1.437257642683,-0.747850698316722,1.8465474711996,3.22123331967865,1.49575454715779,-1.82042765742822,0.893067359017526,0.40584247459394,-0.804487730996464,0.716302586082999,-1.89138919721013,-1.69436262614302,-0.359178249273596,-1.01579863703709,-0.609803185534512,2.72830010653748,2.00445970019724,-0.370688646633108,1.99782562836823,-0.166979018069491,-0.943958233352242,0.15796557327369,-0.568180792577997,-0.690436249727888,-0.0615198858874105,-1.83425609130109,-3.15503701574166,1.46666888017601,0.216726980996201,0.0570921087555211,-1.00233005198502,-1.98625666452001,2.77873585732973,-1.83533757619663,-1.14930905196452,-0.0985415513154257,0.945924399044878,0.964227043843045,-1.47418365464017,-1.61480181667766,0.45544858224284,1.00890084298356,-3.91190632379127,-1.9204805387043,-1.19918593111861,-0.937848371027316,-0.329128457878933,-0.332124047882361,1.01773125152008,1.88955734746148,-0.207538839795146,0.82978296362428,0.318527531268116,-0.863574072395654,1.13443139381247,1.87338911837388,1.21637456861015,0.603015083858321,-0.672912211518546,-0.0386137676707683,-0.907935781325403,2.06698475842428,1.84696372630812,-3.00048793912495,-1.76687701053422,-0.810391397350888,1.45638724836414,-0.617929266085668,4.13788354593043,-0.29871305299503,0.178795413744046,-0.620661325010949,-0.197905819495281,-2.86828778723871,-0.579861143489578,-0.128982802671927,0.444858223880612,2.2412620184446,2.11609631699432,0.484009668079434
